Datetime,P00014
202507301730,0.222
202507301800,0.222
202507301830,0.222
202507301900,0.222
202507301930,0.222
202507302000,0.222
202507302030,0.222
202507302100,0.222
202507302130,0.222
202507302200,0.222
202507302230,0.222
202507302300,0.222
202507302330,0.222
202507310000,0.222
202507310030,0.071
202507310100,0.071
202507310130,0.071
202507310200,0.071
202507310230,0.071
202507310300,0.071
202507310330,0.071
202507310400,0.071
202507310430,0.071
202507310500,0.071
202507310530,0.071
202507310600,0.071
202507310630,0.071
202507310700,0.071
202507310730,0.071
202507310800,0.071
202507310830,0.071
202507310900,0.071
202507310930,0.071
202507311000,0.071
202507311030,0.071
202507311100,0.071
202507311130,0.071
202507311200,0.071
202507311230,0.071
202507311300,0.071
202507311330,0.071
202507311400,0.071
202507311430,0.071
202507311500,0.071
202507311530,0.071
202507311600,0.071
202507311630,0.071
202507311700,0.071
202507311730,0.071
202507311800,0.071
202507311830,0.071
202507311900,0.071
202507311930,0.071
202507312000,0.071
202507312030,0.071
202507312100,0.071
202507312130,0.071
202507312200,0.071
202507312230,0.071
202507312300,0.071
202507312330,0.071
202508010000,0.071
202508010030,0.183
202508010100,0.183
202508010130,0.183
202508010200,0.183
202508010230,0.183
202508010300,0.183
202508010330,0.183
202508010400,0.183
202508010430,0.183
202508010500,0.183
202508010530,0.183
202508010600,0.183
202508010630,0.183
202508010700,0.183
202508010730,0.183
202508010800,0.183
202508010830,0.183
202508010900,0.183
202508010930,0.183
202508011000,0.183
202508011030,0.183
202508011100,0.183
202508011130,0.183
202508011200,0.183
202508011230,0.183
202508011300,0.183
202508011330,0.183
202508011400,0.183
202508011430,0.183
202508011500,0.183
202508011530,0.183
202508011600,0.183
202508011630,0.183
202508011700,0.183
202508011730,0.183
202508011800,0.183
202508011830,0.183
202508011900,0.183
202508011930,0.183
202508012000,0.183
202508012030,0.183
202508012100,0.183
202508012130,0.183
202508012200,0.183
202508012230,0.183
202508012300,0.183
202508012330,0.183
202508020000,0.183
202508020030,0.324
202508020100,0.324
202508020130,0.324
202508020200,0.324
202508020230,0.324
202508020300,0.324
202508020330,0.324
202508020400,0.324
202508020430,0.324
202508020500,0.324
202508020530,0.324
202508020600,0.324
202508020630,0.324
202508020700,0.324
202508020730,0.324
202508020800,0.324
202508020830,0.324
202508020900,0.324
202508020930,0.324
202508021000,0.324
202508021030,0.324
202508021100,0.324
202508021130,0.324
202508021200,0.324
202508021230,0.324
202508021300,0.324
202508021330,0.324
202508021400,0.324
202508021430,0.324
202508021500,0.324
202508021530,0.324
202508021600,0.324
202508021630,0.324
202508021700,0.324
202508021730,0.324
202508021800,0.324
202508021830,0.324
202508021900,0.324
202508021930,0.324
202508022000,0.324
202508022030,0.324
202508022100,0.324
202508022130,0.324
202508022200,0.324
202508022230,0.324
202508022300,0.324
202508022330,0.324
202508030000,0.324
202508030030,0.338
202508030100,0.338
202508030130,0.338
202508030200,0.338
202508030230,0.338
202508030300,0.338
202508030330,0.338
202508030400,0.338
202508030430,0.338
202508030500,0.338
202508030530,0.338
202508030600,0.338
202508030630,0.338
202508030700,0.338
202508030730,0.338
202508030800,0.338
202508030830,0.338
202508030900,0.338
202508030930,0.338
202508031000,0.338
202508031030,0.338
202508031100,0.338
202508031130,0.338
202508031200,0.338
202508031230,0.338
202508031300,0.338
202508031330,0.338
202508031400,0.338
202508031430,0.338
202508031500,0.338
202508031530,0.338
202508031600,0.338
202508031630,0.338
202508031700,0.338
202508031730,0.338
202508031800,0.338
202508031830,0.338
202508031900,0.338
202508031930,0.338
202508032000,0.338
202508032030,0.338
202508032100,0.338
202508032130,0.338
202508032200,0.338
202508032230,0.338
202508032300,0.338
202508032330,0.338
202508040000,0.338
202508040030,0.252
202508040100,0.252
202508040130,0.252
202508040200,0.252
202508040230,0.252
202508040300,0.252
202508040330,0.252
202508040400,0.252
202508040430,0.252
202508040500,0.252
202508040530,0.252
202508040600,0.252
202508040630,0.252
202508040700,0.252
202508040730,0.252
202508040800,0.252
202508040830,0.252
202508040900,0.252
202508040930,0.252
202508041000,0.252
202508041030,0.252
202508041100,0.252
202508041130,0.252
202508041200,0.252
202508041230,0.252
202508041300,0.252
202508041330,0.252
202508041400,0.252
202508041430,0.252
202508041500,0.252
202508041530,0.252
202508041600,0.252
202508041630,0.252
202508041700,0.252
202508041730,0.252
202508041800,0.252
202508041830,0.252
202508041900,0.252
202508041930,0.252
202508042000,0.252
202508042030,0.252
202508042100,0.252
202508042130,0.252
202508042200,0.252
202508042230,0.252
202508042300,0.252
202508042330,0.252
202508050000,0.252
202508050030,0.073
202508050100,0.073
202508050130,0.073
202508050200,0.073
202508050230,0.073
202508050300,0.073
202508050330,0.073
202508050400,0.073
202508050430,0.073
202508050500,0.073
202508050530,0.073
202508050600,0.073
202508050630,0.073
202508050700,0.073
202508050730,0.073
202508050800,0.073
202508050830,0.073
202508050900,0.073
202508050930,0.073
202508051000,0.073
202508051030,0.073
202508051100,0.073
202508051130,0.073
202508051200,0.073
202508051230,0.073
202508051300,0.073
202508051330,0.073
202508051400,0.073
202508051430,0.073
202508051500,0.073
202508051530,0.073
202508051600,0.073
202508051630,0.073
202508051700,0.073
202508051730,0.073
202508051800,0.073
202508051830,0.073
202508051900,0.073
202508051930,0.073
202508052000,0.073
202508052030,0.073
202508052100,0.073
202508052130,0.073
202508052200,0.073
202508052230,0.073
202508052300,0.073
202508052330,0.073
202508060000,0.073
202508060030,0.484
202508060100,0.484
202508060130,0.484
202508060200,0.484
202508060230,0.484
202508060300,0.484
202508060330,0.484
202508060400,0.484
202508060430,0.484
202508060500,0.484
202508060530,0.484
202508060600,0.484
202508060630,0.484
202508060700,0.484
202508060730,0.484
202508060800,0.484
202508060830,0.484
202508060900,0.484
202508060930,0.484
202508061000,0.484
202508061030,0.484
202508061100,0.484
202508061130,0.484
202508061200,0.484
202508061230,0.484
202508061300,0.484
202508061330,0.484
202508061400,0.484
202508061430,0.484
202508061500,0.484
202508061530,0.484
202508061600,0.484
202508061630,0.484
202508061700,0.484
202508061730,0.484
202508061800,0.484
202508061830,0.484
202508061900,0.484
202508061930,0.484
202508062000,0.484
202508062030,0.484
202508062100,0.484
202508062130,0.484
202508062200,0.484
202508062230,0.484
202508062300,0.484
202508062330,0.484
202508070000,0.484
202508070030,0.262
202508070100,0.262
202508070130,0.262
202508070200,0.262
202508070230,0.262
202508070300,0.262
202508070330,0.262
202508070400,0.262
202508070430,0.262
202508070500,0.262
202508070530,0.262
202508070600,0.262
202508070630,0.262
202508070700,0.262
202508070730,0.262
202508070800,0.262
202508070830,0.262
202508070900,0.262
202508070930,0.262
202508071000,0.262
202508071030,0.262
202508071100,0.262
202508071130,0.262
202508071200,0.262
202508071230,0.262
202508071300,0.262
202508071330,0.262
202508071400,0.262
202508071430,0.262
202508071500,0.262
202508071530,0.262
202508071600,0.262
202508071630,0.262
202508071700,0.262
202508071730,0.262
202508071800,0.262
202508071830,0.262
202508071900,0.262
202508071930,0.262
202508072000,0.262
202508072030,0.262
202508072100,0.262
202508072130,0.262
202508072200,0.262
202508072230,0.262
202508072300,0.262
202508072330,0.262
202508080000,0.262
202508080030,0.109
202508080100,0.109
202508080130,0.109
202508080200,0.109
202508080230,0.109
202508080300,0.109
202508080330,0.109
202508080400,0.109
202508080430,0.109
202508080500,0.109
202508080530,0.109
202508080600,0.109
202508080630,0.109
202508080700,0.109
202508080730,0.109
202508080800,0.109
202508080830,0.109
202508080900,0.109
202508080930,0.109
202508081000,0.109
202508081030,0.109
202508081100,0.109
202508081130,0.109
202508081200,0.109
202508081230,0.109
202508081300,0.109
202508081330,0.109
202508081400,0.109
202508081430,0.109
202508081500,0.109
202508081530,0.109
202508081600,0.109
202508081630,0.109
202508081700,0.109
202508081730,0.109
202508081800,0.109
202508081830,0.109
202508081900,0.109
202508081930,0.109
202508082000,0.109
202508082030,0.109
202508082100,0.109
202508082130,0.109
202508082200,0.109
202508082230,0.109
202508082300,0.109
202508082330,0.109
202508090000,0.109
202508090030,0.125
202508090100,0.125
202508090130,0.125
202508090200,0.125
202508090230,0.125
202508090300,0.125
202508090330,0.125
202508090400,0.125
202508090430,0.125
202508090500,0.125
202508090530,0.125
202508090600,0.125
202508090630,0.125
202508090700,0.125
202508090730,0.125
202508090800,0.125
202508090830,0.125
202508090900,0.125
202508090930,0.125
202508091000,0.125
202508091030,0.125
202508091100,0.125
202508091130,0.125
202508091200,0.125
202508091230,0.125
202508091300,0.125
202508091330,0.125
202508091400,0.125
202508091430,0.125
202508091500,0.125
202508091530,0.125
202508091600,0.125
202508091630,0.125
202508091700,0.125
202508091730,0.125
202508091800,0.125
202508091830,0.125
202508091900,0.125
202508091930,0.125
202508092000,0.125
202508092030,0.125
202508092100,0.125
202508092130,0.125
202508092200,0.125
202508092230,0.125
202508092300,0.125
202508092330,0.125
202508100000,0.125
202508100030,0.263
202508100100,0.263
202508100130,0.263
202508100200,0.263
202508100230,0.263
202508100300,0.263
202508100330,0.263
202508100400,0.263
202508100430,0.263
202508100500,0.263
202508100530,0.263
202508100600,0.263
202508100630,0.263
202508100700,0.263
202508100730,0.263
202508100800,0.263
202508100830,0.263
202508100900,0.263
202508100930,0.263
202508101000,0.263
202508101030,0.263
202508101100,0.263
202508101130,0.263
202508101200,0.263
202508101230,0.263
202508101300,0.263
202508101330,0.263
202508101400,0.263
202508101430,0.263
202508101500,0.263
202508101530,0.263
202508101600,0.263
202508101630,0.263
202508101700,0.263
202508101730,0.263
202508101800,0.263
202508101830,0.263
202508101900,0.263
202508101930,0.263
202508102000,0.263
202508102030,0.263
202508102100,0.263
202508102130,0.263
202508102200,0.263
202508102230,0.263
202508102300,0.263
202508102330,0.263
202508110000,0.263
