Datetime,P00001
202208192100,0.167
202208192130,0.167
202208192200,0.167
202208192230,0.167
202208192300,0.167
202208192330,0.167
202208200000,0.167
202208200030,0.151
202208200100,0.151
202208200130,0.151
202208200200,0.151
202208200230,0.151
202208200300,0.151
202208200330,0.151
202208200400,0.151
202208200430,0.151
202208200500,0.151
202208200530,0.151
202208200600,0.151
202208200630,0.151
202208200700,0.151
202208200730,0.151
202208200800,0.151
202208200830,0.151
202208200900,0.151
202208200930,0.151
202208201000,0.151
202208201030,0.151
202208201100,0.151
202208201130,0.151
202208201200,0.151
202208201230,0.151
202208201300,0.151
202208201330,0.151
202208201400,0.151
202208201430,0.151
202208201500,0.151
202208201530,0.151
202208201600,0.151
202208201630,0.151
202208201700,0.151
202208201730,0.151
202208201800,0.151
202208201830,0.151
202208201900,0.151
202208201930,0.151
202208202000,0.151
202208202030,0.151
202208202100,0.151
202208202130,0.151
202208202200,0.151
202208202230,0.151
202208202300,0.151
202208202330,0.151
202208210000,0.151
202208210030,0.174
202208210100,0.174
202208210130,0.174
202208210200,0.174
202208210230,0.174
202208210300,0.174
202208210330,0.174
202208210400,0.174
202208210430,0.174
202208210500,0.174
202208210530,0.174
202208210600,0.174
202208210630,0.174
202208210700,0.174
202208210730,0.174
202208210800,0.174
202208210830,0.174
202208210900,0.174
202208210930,0.174
202208211000,0.174
202208211030,0.174
202208211100,0.174
202208211130,0.174
202208211200,0.174
202208211230,0.174
202208211300,0.174
202208211330,0.174
202208211400,0.174
202208211430,0.174
202208211500,0.174
202208211530,0.174
202208211600,0.174
202208211630,0.174
202208211700,0.174
202208211730,0.174
202208211800,0.174
202208211830,0.174
202208211900,0.174
202208211930,0.174
202208212000,0.174
202208212030,0.174
202208212100,0.174
202208212130,0.174
202208212200,0.174
202208212230,0.174
202208212300,0.174
202208212330,0.174
202208220000,0.174
202208220030,0.177
202208220100,0.177
202208220130,0.177
202208220200,0.177
202208220230,0.177
202208220300,0.177
202208220330,0.177
202208220400,0.177
202208220430,0.177
202208220500,0.177
202208220530,0.177
202208220600,0.177
202208220630,0.177
202208220700,0.177
202208220730,0.177
202208220800,0.177
202208220830,0.177
202208220900,0.177
202208220930,0.177
202208221000,0.177
202208221030,0.177
202208221100,0.177
202208221130,0.177
202208221200,0.177
202208221230,0.177
202208221300,0.177
202208221330,0.177
202208221400,0.177
202208221430,0.177
202208221500,0.177
202208221530,0.177
202208221600,0.177
202208221630,0.177
202208221700,0.177
202208221730,0.177
202208221800,0.177
202208221830,0.177
202208221900,0.177
202208221930,0.177
202208222000,0.177
202208222030,0.177
202208222100,0.177
202208222130,0.177
202208222200,0.177
202208222230,0.177
202208222300,0.177
202208222330,0.177
202208230000,0.177
202208230030,0.556
202208230100,0.556
202208230130,0.556
202208230200,0.556
202208230230,0.556
202208230300,0.556
202208230330,0.556
202208230400,0.556
202208230430,0.556
202208230500,0.556
202208230530,0.556
202208230600,0.556
202208230630,0.556
202208230700,0.556
202208230730,0.556
202208230800,0.556
202208230830,0.556
202208230900,0.556
202208230930,0.556
202208231000,0.556
202208231030,0.556
202208231100,0.556
202208231130,0.556
202208231200,0.556
202208231230,0.556
202208231300,0.556
202208231330,0.556
202208231400,0.556
202208231430,0.556
202208231500,0.556
202208231530,0.556
202208231600,0.556
202208231630,0.556
202208231700,0.556
202208231730,0.556
202208231800,0.556
202208231830,0.556
202208231900,0.556
202208231930,0.556
202208232000,0.556
202208232030,0.556
202208232100,0.556
202208232130,0.556
202208232200,0.556
202208232230,0.556
202208232300,0.556
202208232330,0.556
202208240000,0.556
202208240030,0.178
202208240100,0.178
202208240130,0.178
202208240200,0.178
202208240230,0.178
202208240300,0.178
202208240330,0.178
202208240400,0.178
202208240430,0.178
202208240500,0.178
202208240530,0.178
202208240600,0.178
202208240630,0.178
202208240700,0.178
202208240730,0.178
202208240800,0.178
202208240830,0.178
202208240900,0.178
202208240930,0.178
202208241000,0.178
202208241030,0.178
202208241100,0.178
202208241130,0.178
202208241200,0.178
202208241230,0.178
202208241300,0.178
202208241330,0.178
202208241400,0.178
202208241430,0.178
202208241500,0.178
202208241530,0.178
202208241600,0.178
202208241630,0.178
202208241700,0.178
202208241730,0.178
202208241800,0.178
202208241830,0.178
202208241900,0.178
202208241930,0.178
202208242000,0.178
202208242030,0.178
202208242100,0.178
202208242130,0.178
202208242200,0.178
202208242230,0.178
202208242300,0.178
202208242330,0.178
202208250000,0.178
202208250030,0.223
202208250100,0.223
202208250130,0.223
202208250200,0.223
202208250230,0.223
202208250300,0.223
202208250330,0.223
202208250400,0.223
202208250430,0.223
202208250500,0.223
202208250530,0.223
202208250600,0.223
202208250630,0.223
202208250700,0.223
202208250730,0.223
202208250800,0.223
202208250830,0.223
202208250900,0.223
202208250930,0.223
202208251000,0.223
202208251030,0.223
202208251100,0.223
202208251130,0.223
202208251200,0.223
202208251230,0.223
202208251300,0.223
202208251330,0.223
202208251400,0.223
202208251430,0.223
202208251500,0.223
202208251530,0.223
202208251600,0.223
202208251630,0.223
202208251700,0.223
202208251730,0.223
202208251800,0.223
202208251830,0.223
202208251900,0.223
202208251930,0.223
202208252000,0.223
202208252030,0.223
202208252100,0.223
202208252130,0.223
202208252200,0.223
202208252230,0.223
202208252300,0.223
202208252330,0.223
202208260000,0.223
202208260030,0.162
202208260100,0.162
202208260130,0.162
202208260200,0.162
202208260230,0.162
202208260300,0.162
202208260330,0.162
202208260400,0.162
202208260430,0.162
202208260500,0.162
202208260530,0.162
202208260600,0.162
202208260630,0.162
202208260700,0.162
202208260730,0.162
202208260800,0.162
202208260830,0.162
202208260900,0.162
202208260930,0.162
202208261000,0.162
202208261030,0.162
202208261100,0.162
202208261130,0.162
202208261200,0.162
202208261230,0.162
202208261300,0.162
202208261330,0.162
202208261400,0.162
202208261430,0.162
202208261500,0.162
202208261530,0.162
202208261600,0.162
202208261630,0.162
202208261700,0.162
202208261730,0.162
202208261800,0.162
202208261830,0.162
202208261900,0.162
202208261930,0.162
202208262000,0.162
202208262030,0.162
202208262100,0.162
202208262130,0.162
202208262200,0.162
202208262230,0.162
202208262300,0.162
202208262330,0.162
202208270000,0.162
202208270030,0.221
202208270100,0.221
202208270130,0.221
202208270200,0.221
202208270230,0.221
202208270300,0.221
202208270330,0.221
202208270400,0.221
202208270430,0.221
202208270500,0.221
202208270530,0.221
202208270600,0.221
202208270630,0.221
202208270700,0.221
202208270730,0.221
202208270800,0.221
202208270830,0.221
202208270900,0.221
202208270930,0.221
202208271000,0.221
202208271030,0.221
202208271100,0.221
202208271130,0.221
202208271200,0.221
202208271230,0.221
202208271300,0.221
202208271330,0.221
202208271400,0.221
202208271430,0.221
202208271500,0.221
202208271530,0.221
202208271600,0.221
202208271630,0.221
202208271700,0.221
202208271730,0.221
202208271800,0.221
202208271830,0.221
202208271900,0.221
202208271930,0.221
202208272000,0.221
202208272030,0.221
202208272100,0.221
202208272130,0.221
202208272200,0.221
202208272230,0.221
202208272300,0.221
202208272330,0.221
202208280000,0.221
202208280030,0.021
202208280100,0.021
202208280130,0.021
202208280200,0.021
202208280230,0.021
202208280300,0.021
202208280330,0.021
202208280400,0.021
202208280430,0.021
202208280500,0.021
202208280530,0.021
202208280600,0.021
202208280630,0.021
202208280700,0.021
202208280730,0.021
202208280800,0.021
202208280830,0.021
202208280900,0.021
202208280930,0.021
202208281000,0.021
202208281030,0.021
202208281100,0.021
202208281130,0.021
202208281200,0.021
202208281230,0.021
202208281300,0.021
202208281330,0.021
202208281400,0.021
202208281430,0.021
202208281500,0.021
202208281530,0.021
202208281600,0.021
202208281630,0.021
202208281700,0.021
202208281730,0.021
202208281800,0.021
202208281830,0.021
202208281900,0.021
202208281930,0.021
202208282000,0.021
202208282030,0.021
202208282100,0.021
202208282130,0.021
202208282200,0.021
202208282230,0.021
202208282300,0.021
202208282330,0.021
202208290000,0.021
202208290030,0.008
202208290100,0.008
202208290130,0.008
202208290200,0.008
202208290230,0.008
202208290300,0.008
202208290330,0.008
202208290400,0.008
202208290430,0.008
202208290500,0.008
202208290530,0.008
202208290600,0.008
202208290630,0.008
202208290700,0.008
202208290730,0.008
202208290800,0.008
202208290830,0.008
202208290900,0.008
202208290930,0.008
202208291000,0.008
202208291030,0.008
202208291100,0.008
202208291130,0.008
202208291200,0.008
202208291230,0.008
202208291300,0.008
202208291330,0.008
202208291400,0.008
202208291430,0.008
202208291500,0.008
202208291530,0.008
202208291600,0.008
202208291630,0.008
202208291700,0.008
202208291730,0.008
202208291800,0.008
202208291830,0.008
202208291900,0.008
202208291930,0.008
202208292000,0.008
202208292030,0.008
202208292100,0.008
202208292130,0.008
202208292200,0.008
202208292230,0.008
202208292300,0.008
202208292330,0.008
202208300000,0.008
202208300030,0.211
202208300100,0.211
202208300130,0.211
202208300200,0.211
202208300230,0.211
202208300300,0.211
202208300330,0.211
202208300400,0.211
202208300430,0.211
202208300500,0.211
202208300530,0.211
202208300600,0.211
202208300630,0.211
202208300700,0.211
202208300730,0.211
202208300800,0.211
202208300830,0.211
202208300900,0.211
202208300930,0.211
202208301000,0.211
202208301030,0.211
202208301100,0.211
202208301130,0.211
202208301200,0.211
202208301230,0.211
202208301300,0.211
202208301330,0.211
202208301400,0.211
202208301430,0.211
202208301500,0.211
202208301530,0.211
202208301600,0.211
202208301630,0.211
202208301700,0.211
202208301730,0.211
202208301800,0.211
202208301830,0.211
202208301900,0.211
202208301930,0.211
202208302000,0.211
202208302030,0.211
202208302100,0.211
202208302130,0.211
202208302200,0.211
202208302230,0.211
202208302300,0.211
202208302330,0.211
202208310000,0.211
